epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.103,1.49091,1.15719,1.4198,0.82123,0.65816,0.74986,0.30504,2.09783,3.6832,1.82415,0.0705263,0.00327485,0.00327485
2,203.045,1.57554,1.21091,1.45188,0.77378,0.67092,0.78287,0.42376,1.71785,1.63241,1.64709,0.0405106,0.00659244,0.00659244
3,303.467,1.57642,1.24718,1.49149,0.75927,0.69197,0.75595,0.35936,1.79983,2.60909,1.81673,0.0104318,0.00984696,0.00984696
4,403.578,1.61665,1.33015,1.51909,0.70484,0.60919,0.69905,0.35322,1.92603,2.67005,1.83178,0.00978685,0.00978685,0.00978685
5,503.342,1.58323,1.25811,1.48147,0.76883,0.77207,0.82282,0.38647,1.73913,1.66037,1.69596,0.0096232,0.0096232,0.0096232
6,602.474,1.5554,1.23525,1.4677,0.72337,0.65816,0.74483,0.31666,1.79687,2.32963,1.66974,0.00941551,0.00941551,0.00941551
7,700.894,1.50894,1.1893,1.44738,0.67375,0.68622,0.7361,0.3585,1.83145,1.97888,1.74417,0.00916577,0.00916577,0.00916577
8,799.333,1.54495,1.20448,1.46807,0.83713,0.70918,0.8188,0.4291,1.82967,1.48569,1.80417,0.0088764,0.0088764,0.0088764
9,897.743,1.52074,1.20297,1.48211,0.79414,0.72822,0.8129,0.46153,1.53534,1.59384,1.57287,0.00855018,0.00855018,0.00855018
10,996.394,1.48333,1.16242,1.43619,0.80125,0.7602,0.83158,0.44128,1.71027,1.45446,1.62006,0.00819025,0.00819025,0.00819025
11,1096.1,1.45704,1.13025,1.41496,0.80236,0.66279,0.77915,0.34558,2.07787,2.35636,1.87573,0.00780007,0.00780007,0.00780007
12,1195.08,1.51672,1.28602,1.44738,0.78686,0.78827,0.84247,0.42248,1.6534,1.45749,1.58805,0.00738341,0.00738341,0.00738341
13,1294.25,1.48519,1.15833,1.43054,0.83326,0.79847,0.86818,0.45784,1.7222,1.42749,1.57028,0.00694428,0.00694428,0.00694428
14,1393.05,1.48174,1.24892,1.43548,0.82283,0.71939,0.79772,0.40127,1.89399,1.78563,1.80799,0.00648691,0.00648691,0.00648691
15,1491.46,1.44501,1.09431,1.38769,0.84049,0.77551,0.85387,0.37962,1.82216,1.59729,1.63448,0.0060157,0.0060157,0.0060157
16,1590.8,1.4311,1.09515,1.39985,0.8507,0.78827,0.87686,0.4495,1.77522,1.32618,1.60119,0.00553518,0.00553518,0.00553518
17,1688.98,1.3665,1.04927,1.35188,0.8147,0.79635,0.8764,0.51162,1.47047,1.20973,1.45534,0.00505,0.00505,0.00505
18,1788.69,1.39675,1.06248,1.37998,0.83057,0.80033,0.87072,0.49027,1.51844,1.38482,1.5179,0.00456482,0.00456482,0.00456482
19,1889.26,1.36812,1.04949,1.35289,0.84972,0.84184,0.90123,0.49018,1.65947,1.13915,1.53465,0.0040843,0.0040843,0.0040843
20,1988.49,1.39599,1.04492,1.37506,0.86047,0.79337,0.88808,0.53325,1.54892,1.18361,1.49372,0.00361309,0.00361309,0.00361309
21,2087.26,1.36878,1.03456,1.34622,0.83863,0.80873,0.87848,0.45198,1.72729,1.20152,1.58451,0.00315572,0.00315572,0.00315572
22,2186.21,1.35325,1.00548,1.33934,0.86322,0.82109,0.89674,0.5155,1.52583,1.03461,1.45962,0.00271659,0.00271659,0.00271659
23,2282.49,1.12032,0.8579,1.21299,0.85133,0.83929,0.89958,0.50206,1.67099,1.13051,1.48266,0.00229993,0.00229993,0.00229993
24,2379.22,1.13794,0.82342,1.1958,0.87013,0.82143,0.90886,0.53422,1.48454,1.00498,1.40824,0.00190975,0.00190975,0.00190975
25,2475.96,1.06228,0.7496,1.16537,0.85767,0.87245,0.90975,0.51551,1.61756,1.02745,1.49241,0.00154982,0.00154982,0.00154982
26,2572.52,1.09535,0.74736,1.17899,0.86227,0.86245,0.9007,0.52253,1.49856,0.98526,1.42261,0.0012236,0.0012236,0.0012236
27,2668.93,1.06041,0.72798,1.16897,0.86646,0.86069,0.91084,0.54444,1.49186,0.98712,1.40638,0.000934225,0.000934225,0.000934225
28,2764.7,1.05152,0.72005,1.16976,0.85488,0.89031,0.92768,0.55257,1.48476,0.90623,1.40101,0.00068449,0.00068449,0.00068449
29,2860.99,1.06658,0.72148,1.17872,0.88343,0.8699,0.92733,0.56804,1.39328,0.86755,1.35838,0.000476796,0.000476796,0.000476796
30,2957.66,1.0196,0.69455,1.14118,0.87486,0.87392,0.92817,0.5688,1.40425,0.87269,1.35908,0.000313145,0.000313145,0.000313145
31,3054.58,1.03967,0.70998,1.15997,0.87879,0.87755,0.92478,0.5491,1.47366,0.89115,1.38542,0.000195113,0.000195113,0.000195113
32,3151.31,1.04291,0.70885,1.15819,0.88116,0.87755,0.92718,0.55097,1.4647,0.89455,1.37947,0.000123836,0.000123836,0.000123836
