epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.016,1.69783,1.39522,1.45235,0.12981,0.49745,0.17003,0.05618,2.54516,46.2891,3.66758,0.0705263,0.00327485,0.00327485
2,206.178,1.71841,1.38593,1.52091,0.06373,0.23214,0.02865,0.01156,3.54928,18.3551,8.59249,0.0405106,0.00659244,0.00659244
3,304.089,1.85377,1.54943,1.62347,0.31439,0.44388,0.30812,0.10496,2.24068,13.0407,2.51365,0.0104318,0.00984696,0.00984696
4,401.737,1.74213,1.47258,1.58386,0.29335,0.57908,0.28938,0.10857,2.12016,11.0828,2.18461,0.00978685,0.00978685,0.00978685
5,500.177,1.63863,1.31509,1.5015,0.57376,0.45918,0.47696,0.2043,2.46313,8.1882,2.75104,0.0096232,0.0096232,0.0096232
6,597.439,1.62747,1.30817,1.47899,0.45335,0.55641,0.43453,0.19836,1.98625,8.43768,1.95214,0.00941551,0.00941551,0.00941551
7,696.169,1.61486,1.29181,1.44713,0.69053,0.47194,0.5657,0.23745,2.23322,4.0327,2.1131,0.00916577,0.00916577,0.00916577
8,799.442,1.57913,1.26243,1.4561,0.7237,0.65561,0.72216,0.38289,1.80468,3.101,1.80619,0.0088764,0.0088764,0.0088764
9,902.022,1.56972,1.32473,1.43344,0.70838,0.68367,0.73359,0.29719,2.21533,2.03523,1.96033,0.00855018,0.00855018,0.00855018
10,1004.59,1.55863,1.22802,1.44818,0.83331,0.72691,0.81484,0.44583,1.72084,2.10691,1.73395,0.00819025,0.00819025,0.00819025
11,1104.56,1.47561,1.14797,1.3741,0.78715,0.7264,0.80585,0.42815,1.69301,1.79507,1.60301,0.00780007,0.00780007,0.00780007
12,1205.39,1.48197,1.21244,1.39921,0.83677,0.72959,0.82473,0.4147,1.72242,1.72133,1.68105,0.00738341,0.00738341,0.00738341
13,1306.14,1.44843,1.13421,1.38969,0.86153,0.79359,0.86902,0.46125,1.61536,1.22494,1.55927,0.00694428,0.00694428,0.00694428
14,1406.03,1.42604,1.08184,1.3538,0.85525,0.76868,0.85983,0.44518,1.5451,1.24082,1.49919,0.00648691,0.00648691,0.00648691
15,1507.42,1.39644,1.0676,1.3242,0.81522,0.70153,0.79989,0.39484,1.72524,1.62963,1.62228,0.0060157,0.0060157,0.0060157
16,1608.08,1.39419,1.08323,1.3465,0.86725,0.73332,0.84444,0.33988,1.92083,1.54243,1.7396,0.00553518,0.00553518,0.00553518
17,1713.45,1.37046,1.03893,1.32722,0.86305,0.80384,0.86892,0.46033,1.64098,1.19807,1.54738,0.00505,0.00505,0.00505
18,1817.13,1.37857,1.0531,1.3299,0.83182,0.82653,0.87466,0.48882,1.56881,1.19828,1.49664,0.00456482,0.00456482,0.00456482
19,1917.51,1.33965,1.14369,1.28702,0.90107,0.80867,0.89774,0.54898,1.42541,1.01046,1.43271,0.0040843,0.0040843,0.0040843
20,2015.15,1.29916,0.96217,1.26669,0.84155,0.85204,0.88606,0.52526,1.49205,1.14592,1.46178,0.00361309,0.00361309,0.00361309
21,2112.05,1.29672,0.99456,1.27742,0.91093,0.82398,0.90859,0.50121,1.52241,1.06219,1.42145,0.00315572,0.00315572,0.00315572
22,2211.32,1.26054,0.94897,1.24773,0.88581,0.85095,0.9166,0.52134,1.50007,1.03672,1.41602,0.00271659,0.00271659,0.00271659
23,2308,1.14683,0.84649,1.18818,0.85686,0.84694,0.91712,0.54044,1.41061,1.03544,1.37035,0.00229993,0.00229993,0.00229993
24,2405.72,1.12506,0.79006,1.16641,0.8399,0.85459,0.91652,0.56058,1.38527,0.91072,1.35342,0.00190975,0.00190975,0.00190975
25,2506.52,1.10342,0.76897,1.15839,0.87336,0.84442,0.91654,0.53616,1.49267,0.95104,1.38428,0.00154982,0.00154982,0.00154982
26,2602.84,1.09283,0.76223,1.14455,0.84482,0.88265,0.90846,0.50168,1.53295,0.97823,1.39478,0.0012236,0.0012236,0.0012236
27,2698.05,1.08183,0.74877,1.14211,0.88997,0.85459,0.92304,0.53362,1.47846,0.89533,1.3736,0.000934225,0.000934225,0.000934225
28,2793.16,1.0739,0.72669,1.14098,0.87517,0.87245,0.92128,0.55829,1.35759,0.87681,1.31837,0.00068449,0.00068449,0.00068449
29,2888.42,1.06757,0.71523,1.13949,0.88261,0.875,0.92535,0.52395,1.4941,0.89492,1.36657,0.000476796,0.000476796,0.000476796
30,2984.02,1.03071,0.70929,1.12294,0.88028,0.88158,0.92925,0.55294,1.39336,0.86018,1.32455,0.000313145,0.000313145,0.000313145
31,3079.69,1.04827,0.73491,1.13304,0.8711,0.89031,0.92818,0.57307,1.34783,0.84285,1.31289,0.000195113,0.000195113,0.000195113
32,3175.16,1.04407,0.72412,1.13623,0.87702,0.8852,0.92564,0.55508,1.42948,0.84724,1.34641,0.000123836,0.000123836,0.000123836
