epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9769,1.34008,1.05354,1.4557,0.27397,0.1,0.05393,0.01666,2.83949,4.89002,2.85366,1.7e-05,1.7e-05,0.083017
2,69.4741,1.20984,0.87302,1.38493,0.54324,0.2,0.20354,0.09502,2.1469,3.92301,2.24591,3.49915e-05,3.49915e-05,0.065035
3,104.194,1.11563,0.82669,1.30166,0.5118,0.34093,0.44718,0.25468,1.64275,2.64786,1.82238,5.29482e-05,5.29482e-05,0.0470529
4,139.607,1.17067,0.8234,1.32399,0.87841,0.7,0.81622,0.51205,1.288,1.51104,1.49442,7.0844e-05,7.0844e-05,0.0290708
5,173.105,1.09851,0.76773,1.27155,1,0.67176,0.8864,0.58497,1.14557,1.06695,1.37638,8.86526e-05,8.86526e-05,0.0110887
6,206.749,1.12721,0.79947,1.30331,0.93417,0.925,0.97293,0.66353,1.06378,0.63489,1.29443,9.93906e-05,9.93906e-05,9.93906e-05
7,241.269,1.07924,0.7762,1.28235,0.96664,0.9,0.97326,0.65873,1.04853,0.61315,1.28647,9.91232e-05,9.91232e-05,9.91232e-05
8,275.526,1.07495,0.73261,1.24961,0.91867,0.95,0.97416,0.66783,1.03022,0.6059,1.27704,9.88079e-05,9.88079e-05,9.88079e-05
9,309.132,1.10192,0.80452,1.29649,0.92606,0.93946,0.9746,0.67342,1.01934,0.59568,1.27113,9.84449e-05,9.84449e-05,9.84449e-05
10,344.046,1.09279,0.75833,1.29411,0.93591,0.95,0.97532,0.67294,0.998,0.59495,1.26153,9.80345e-05,9.80345e-05,9.80345e-05
